,RegisterN,ProfileID,Rating,Choice
0,2311033,1,6,0
1,2311033,2,10,0
2,2311033,3,6,0
3,2311033,4,7,0
4,2311033,5,8,0
5,2311033,6,9,0
6,2311033,7,7,0
7,2311033,8,9,0
8,2311033,9,7,0
9,2311033,10,9,0
10,2311033,11,7,1
11,2311033,12,9,0
12,2311033,13,7,0
13,2311048,1,9,0
14,2311048,2,9,0
15,2311048,3,9,0
16,2311048,4,9,0
17,2311048,5,9,0
18,2311048,6,9,0
19,2311048,7,9,0
20,2311048,8,9,0
21,2311048,9,9,0
22,2311048,10,9,0
23,2311048,11,9,0
24,2311048,12,9,0
25,2311048,13,9,1
26,2311038,1,8,0
27,2311038,2,5,0
28,2311038,3,6,0
29,2311038,4,4,0
30,2311038,5,4,0
31,2311038,6,7,0
32,2311038,7,6,0
33,2311038,8,9,1
34,2311038,9,7,0
35,2311038,10,8,0
36,2311038,11,8,0
37,2311038,12,7,0
38,2311038,13,7,0
39,2311043,1,10,0
40,2311043,2,9,0
41,2311043,3,10,0
42,2311043,4,10,0
43,2311043,5,8,0
44,2311043,6,8,0
45,2311043,7,10,0
46,2311043,8,10,0
47,2311043,9,10,0
48,2311043,10,9,1
49,2311043,11,8,0
50,2311043,12,8,0
51,2311043,13,10,0
52,2311007,1,8,0
53,2311007,2,8,0
54,2311007,3,7,0
55,2311007,4,8,0
56,2311007,5,7,0
57,2311007,6,8,0
58,2311007,7,7,0
59,2311007,8,9,0
60,2311007,9,8,0
61,2311007,10,10,1
62,2311007,11,8,0
63,2311007,12,9,0
64,2311007,13,8,0
65,2311093,1,8,0
66,2311093,2,8,0
67,2311093,3,7,0
68,2311093,4,8,0
69,2311093,5,7,0
70,2311093,6,8,0
71,2311093,7,8,0
72,2311093,8,7,0
73,2311093,9,7,0
74,2311093,10,9,0
75,2311093,11,8,0
76,2311093,12,9,1
77,2311093,13,9,0
78,2311084,1,6,0
79,2311084,2,7,1
80,2311084,3,6,0
81,2311084,4,7,0
82,2311084,5,7,0
83,2311084,6,5,0
84,2311084,7,8,0
85,2311084,8,6,0
86,2311084,9,6,0
87,2311084,10,7,0
88,2311084,11,7,0
89,2311084,12,6,0
90,2311084,13,7,0
91,2311026,1,7,0
92,2311026,2,6,0
93,2311026,3,7,0
94,2311026,4,8,0
